Account ID,Campaign ID,Close Date,Closed Lost Reason,Contact ID,Created By ID,Created Date,Fiscal Quarter,Fiscal Year,Forecast Category,Industry,Interface Type,Last Activity,Last Stage Change Date,LDO,Lead Application,Lead Source,Opportunity ID,Owner ID,Primary Application,Primary Contact,Product Category,Product of Interest,Stage,Amount,Probability (%)
001i000001MZMOvAAP,No Campaign,27-09-2019,Not Applicable,Unknown Contact,005i0000000fNkyAAE,05-01-2016,3,2019,Closed,Transportation,Unknown,30-09-2019,06-01-2020,FALSE,Not Specified,Other,0063100000aFWpEAAW,00531000007KAsvAAG,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$60,944.15 ",100
0016e00002Zvj82AAB,No Campaign,31-03-2016,Not Applicable,Unknown Contact,005i0000000fpvQAAQ,05-01-2016,1,2016,Closed,Transportation,Unknown,No Activity Recorded,24-07-2020,FALSE,Not Specified,Inside Sales,0063100000aFacVAAS,00531000008F2qlAAC,No Application Selected,0033100002tFOkTAAW,Uncategorized,Product Not Specified,Closed Won,"$1,24,624.50 ",100
001i000001MZ8IpAAL,No Campaign,30-09-2016,Not Applicable,003i000002Nuf5dAAB,005i0000000fNkyAAE,08-01-2016,3,2016,Closed,Transportation,Unknown,11-12-2019,06-01-2020,FALSE,Not Specified,Other,0063100000anT4uAAE,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$3,624.00 ",100
0013100001eB85XAAS,No Campaign,31-03-2016,Not Applicable,Unknown Contact,005i0000006RgPOAA0,14-01-2016,1,2016,Pipeline,Transportation,Unknown,No Activity Recorded,14-01-2016,FALSE,Not Specified,Website,0063100000antUKAAY,005i0000006RgPOAA0,No Application Selected,0033100002tHcsCAAS,Uncategorized,Product Not Specified,Qualified Opportunity,$0.00,20
0013100001eB85XAAS,No Campaign,30-12-2016,Not Applicable,Unknown Contact,005i0000006RgPOAA0,14-01-2016,4,2016,Pipeline,Transportation,Unknown,No Activity Recorded,14-01-2016,FALSE,Not Specified,Website,0063100000antUuAAI,005i0000006RgPOAA0,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Qualified Opportunity,"$65,000.00 ",20
001i000000WS6x7AAD,No Campaign,31-12-2018,Not Applicable,Unknown Contact,005i0000000fNkyAAE,18-01-2016,4,2018,Omitted,Transportation,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000ao9wMAAQ,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$1,30,000.00 ",0
0013100001dAL4iAAG,No Campaign,31-12-2021,Other,Unknown Contact,005i0000000fNkyAAE,19-01-2016,4,2021,Omitted,Transportation,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000aoF6WAAU,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$1,15,000.00 ",0
0013100001eBxPJAA0,No Campaign,30-09-2016,Lost or No Budget,Unknown Contact,00531000007KAsvAAG,20-01-2016,3,2016,Omitted,Transportation,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Inside Sales,0063100000aoLPaAAM,00531000007KAsvAAG,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$65,000.00 ",0
0013100001ekHGJAA2,No Campaign,15-12-2016,Not Applicable,Unknown Contact,00531000007KAsvAAG,25-01-2016,4,2016,Closed,Agriculture,Unknown,27-08-2018,06-01-2020,FALSE,Not Specified,Trade Show,0063100000aojGMAAY,00531000007KAsvAAG,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$65,000.00 ",100
0013100001el29RAAQ,No Campaign,31-03-2016,Not Applicable,Unknown Contact,005i0000000fNkyAAE,29-01-2016,1,2016,Omitted,Apparel,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Trade Show,0063100000ap7sWAAQ,005i0000000fNkyAAE,CWAs,0033100002tsjv5AAA,Uncategorized,Product Not Specified,Closed Lost,$0.00,0
001i000001MZMQXAA5,No Campaign,11-02-2016,Not Applicable,Unknown Contact,00531000007KAsvAAG,03-02-2016,1,2016,Closed,Apparel,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Inside Sales,0063100000apZWvAAM,00531000007KAsvAAG,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$1,50,000.00 ",100
001i0000014EAO9AAO,No Campaign,30-09-2016,Not Applicable,Unknown Contact,005i0000000fNkyAAE,04-02-2016,3,2016,Omitted,Banking,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000apZwAAAU,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$71,500.00 ",0
0013100001eljtBAAQ,No Campaign,02-05-2017,Not Applicable,Unknown Contact,00531000007KAsvAAG,04-02-2016,2,2017,Closed,Banking,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Inside Sales,0063100000apecPAAQ,00531000007KAsvAAG,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$56,500.00 ",100
0013100001emAHaAAM,No Campaign,19-02-2016,Not Applicable,Unknown Contact,00531000007KAsvAAG,08-02-2016,1,2016,Closed,Banking,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Website,0063100000aq7k4AAA,00531000007KAsvAAG,CWAs,0033100002uamE2AAI,Uncategorized,Product Not Specified,Closed Won,$0.00,100
0013100001enlrdAAA,No Campaign,28-12-2018,Non Responsive,Unknown Contact,00531000007KAu8AAG,22-02-2016,4,2018,Omitted,Banking,Manual-Classic,19-04-2019,11-06-2019,FALSE,Metabolomics,Sales Seminar,0063100000arFYbAAM,0055A000009sZg0QAE,Metabolomics,0033100002ue3fWAAQ,System,ZipChip,Closed Lost,"$57,394.00 ",0
0013100001eo7KyAAI,No Campaign,14-04-2016,Not Applicable,Unknown Contact,00531000007KAsvAAG,24-02-2016,2,2016,Closed,Banking,Unknown,02-03-2018,06-01-2020,FALSE,Not Specified,Inside Sales,0063100000arTVnAAM,00531000007KAsvAAG,All Hazards,No Primary Contact,Uncategorized,Product Not Specified,Closed Won,"$65,000.00 ",100
001i000000WS6x7AAD,No Campaign,31-12-2016,Not Applicable,Unknown Contact,005i0000000fNkyAAE,25-02-2016,4,2016,Omitted,Banking,Unknown,No Activity Recorded,06-01-2020,FALSE,Not Specified,Other,0063100000bfw4VAAQ,005i0000000fNkyAAE,No Application Selected,No Primary Contact,Uncategorized,Product Not Specified,Closed Lost,"$65,000.00 ",0
0013100001fpKktAAE,No Campaign,24-10-2017,Not Applicable,00331000038FJzdAAG,00531000007KAu8AAG,26-02-2016,4,2017,Closed,Biotechnology,Auto-Classic,07-09-2017,10-03-2018,FALSE,Biotherapeutics;Proteomics and Peptide Mapping,Field Sales,0063100000bg1PIAAY,0055A000008zqzaQAA,Biotherapeutics,00331000038FJzdAAG,System,ZipChip,Closed Won,"$50,015.00 ",100
0013100001enW6YAAU,No Campaign,02-11-2016,Not Applicable,Unknown Contact,00531000007KAu8AAG,26-02-2016,4,2016,Closed,Energy,Manual-Classic,22-06-2017,10-03-2018,FALSE,Peptide Mapping;Intact Proteins & Antibodies,Field Sales,0063100000bg1oLAAQ,0055A000008zqzaQAA,Biotherapeutics,0033100002udHl0AAE,System,ZipChip,Closed Won,"$48,555.00 ",100
